20260313 123900;24849.25;24849.25;24845;24848;10
20260313 124000;24847.75;24865;24847.75;24865;9
20260313 124100;24863.75;24866;24859.25;24863.25;12
20260313 124200;24865;24871;24865;24865.5;4
20260313 124300;24868.75;24869;24867.25;24868.25;6
20260313 124400;24864.75;24864.75;24861.5;24861.5;3
20260313 124500;24865.25;24870;24865.25;24870;3
20260313 124600;24873.5;24938.25;24873.5;24936;276
20260313 124700;24931.75;24944.75;24918.25;24918.5;96
20260313 124800;24913.75;24922.5;24897.5;24905.75;32
20260313 124900;24904.75;24910;24897.5;24897.5;17
20260313 125000;24895.5;24904.5;24893;24895;18
20260313 125100;24897.25;24900;24887.5;24898;28
20260313 125200;24889.75;24890;24880.75;24880.75;11
20260313 125300;24884.5;24892.25;24884.5;24891.75;11
20260313 125400;24890.25;24890.25;24878.75;24878.75;9
20260313 125500;24882.5;24882.5;24872.25;24878.75;22
20260313 125600;24879.25;24883.75;24878.75;24883.75;5
20260313 125700;24885;24889;24885;24886;13
20260313 125800;24888.25;24888.25;24880;24884.5;15
20260313 125900;24885;24890.25;24878.25;24890.25;41
20260313 130000;24890.25;24890.25;24890.25;24890.25;2
20260313 130100;24896;24896.75;24881.75;24881.75;33
20260313 130200;24891.75;24899.75;24891.75;24895.75;31
20260313 130300;24896.5;24897;24891.5;24892.75;13
20260313 130400;24888.25;24891.25;24859;24875;165
20260313 130500;24876.75;24880.75;24872.5;24876.75;46
20260313 130600;24883;24890;24873;24890;20
20260313 130700;24883.25;24892;24883.25;24886.25;12
20260313 130800;24887.25;24888.5;24879.25;24879.25;22
20260313 130900;24883.75;24883.75;24867.25;24867.25;11
20260313 131000;24863.25;24867.25;24863.25;24865.25;6
20260313 131100;24859;24862.25;24856.75;24859;12
20260313 131200;24865.25;24872.25;24865.25;24866.75;8
20260313 131300;24870.5;24874;24870.5;24872.75;5
20260313 131400;24872.75;24877;24872.75;24877;3
20260313 131500;24882.5;24882.5;24877;24877.5;6
20260313 131600;24881.5;24881.5;24875.25;24875.5;18
20260313 131700;24875;24875.5;24875;24875.5;3
20260313 131800;24881;24883.5;24876.5;24883.5;17
20260313 131900;24884.75;24890.5;24883.25;24889;22
20260313 132000;24889.25;24889.25;24886;24888.25;5
20260313 132100;24888;24894.25;24881.75;24881.75;16
20260313 132200;24882.25;24883.75;24872.5;24880;16
20260313 132300;24881.25;24881.75;24878.5;24881.25;10
20260313 132400;24879;24889;24879;24887.25;8
20260313 132500;24886.5;24893;24883.25;24890.5;19
20260313 132600;24887.25;24887.25;24865;24872;25
20260313 132700;24864.5;24864.5;24864.5;24864.5;1
20260313 132800;24864.25;24869.25;24859.25;24869.25;4
20260313 132900;24862;24866.75;24859.5;24862.25;8
20260313 133000;24859.25;24867.75;24850;24850;22
20260313 133100;24850;24898.25;24850;24879.75;154
20260313 133200;24888;24892.25;24860;24879.5;129
20260313 133300;24876;24882.75;24865.75;24875;72
20260313 133400;24880;24914.25;24874.5;24878;198
20260313 133500;24879;24881.25;24861;24864.25;86
20260313 133600;24872.75;24872.75;24829.25;24848;96
20260313 133700;24843.75;24843.75;24822;24836.25;82
20260313 133800;24843.5;24875.75;24833;24873.25;89
20260313 133900;24875.25;24895;24858.5;24890.5;73
20260313 134000;24890.5;24906.75;24880;24887;110
20260313 134100;24884.5;24896;24884;24895;51
20260313 134200;24896;24915;24896;24912.5;85
20260313 134300;24912.75;24940.75;24908.75;24940;129
20260313 134400;24938.75;24967.25;24928.5;24967;199
20260313 134500;24967.75;24984;24965;24984;111
20260313 134600;24985;25010;24976.25;25008;323
20260313 134700;25009.75;25018;24990;24999.75;191
20260313 134800;25000.75;25002;24983.5;25000;85
20260313 134900;25004.75;25006.5;24976;24983.25;56
20260313 135000;24976;24982.75;24967.5;24970;118
20260313 135100;24969.5;24970.25;24949.25;24949.25;157
20260313 135200;24948;24965.25;24948;24960.75;119
20260313 135300;24959.75;24985.5;24955.75;24963.5;95
20260313 135400;24966.5;25001.25;24960.5;25001.25;51
20260313 135500;25004;25010;24988.5;25002.25;105
20260313 135600;25005;25005;24991.5;25002.25;85
20260313 135700;24998.5;24999.5;24959.75;24964.5;82
20260313 135800;24962.25;24966;24947;24952.75;43
20260313 135900;24954.75;24960;24942.25;24958.75;35
20260313 140000;24960;24961.25;24935;24941;55
20260313 140100;24947;24975.75;24940;24966.25;67
20260313 140200;24967.75;24967.75;24945.75;24957.75;67
20260313 140300;24954.75;24954.75;24911;24911;102
20260313 140400;24912.5;24920.75;24903.75;24911.5;79
20260313 140500;24914.25;24933.75;24914.25;24922;26
20260313 140600;24929;24947;24915;24915;88
20260313 140700;24911;24926.25;24910;24926.25;32
20260313 140800;24934.5;24939.5;24913;24913;19
20260313 140900;24917;24917;24892.5;24900;93
20260313 141000;24901.5;24916.5;24893;24899;55
20260313 141100;24903;24906.25;24879.25;24883.75;69
20260313 141200;24886;24897;24870.75;24884;75
20260313 141300;24883.25;24896;24880;24894;45
20260313 141400;24888.25;24896;24878;24880;25
20260313 141500;24888;24897.25;24879.75;24879.75;27
20260313 141600;24880.75;24887.25;24868;24878.75;45
20260313 141700;24870;24896;24867.5;24867.5;46
20260313 141800;24873.5;24881;24850;24851.25;96
20260313 141900;24853;24869.5;24848.5;24858.5;100
20260313 142000;24855.75;24871;24852.25;24862;27
20260313 142100;24865.5;24905;24863.25;24881.5;161
20260313 142200;24883.5;24896;24875;24889.25;110
20260313 142300;24883.25;24890.75;24874.75;24874.75;40
20260313 142400;24873.25;24900;24870;24900;45
20260313 142500;24900.5;24903;24878;24884;93
20260313 142600;24886.75;24887;24876;24882.75;10
20260313 142700;24869.75;24896;24866.5;24887.75;32
20260313 142800;24891.75;24914;24888;24895;80
20260313 142900;24890;24901.25;24873.75;24901.25;57
20260313 143000;24898.5;24898.5;24886.75;24886.75;27
20260313 143100;24884;24912;24882;24911.75;49
20260313 143200;24915.25;24940;24912.75;24940;111
20260313 143300;24941;24941;24931.25;24936.5;77
20260313 143400;24940;24941.25;24918.75;24918.75;49
20260313 143500;24913.25;24913.25;24893.5;24905;50
20260313 143600;24898.5;24903;24857.5;24857.5;74
