strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
a_asian_continuation,LONG,2023-06-02 09:10:00+00:00,14533.0,14529.5,14540.0,2023-06-02 09:14:00+00:00,14540.0,target,14.0,28,4.0,2023,4,"ON_break LONG close5=14551.00 on=[14473.75,14534.25]"
e_multi_day_breakout,LONG,2023-06-02 14:45:00+00:00,14565.25,14559.5,14576.75,2023-06-02 14:47:00+00:00,14576.75,target,23.0,46,2.0,2023,9,3d_break LONG 3dH=14559.75 3dL=14252.00
g_inside_bar_breakout,SHORT,2023-06-02 15:10:00+00:00,14596.5,14600.0,14589.5,2023-06-02 15:12:00+00:00,14589.5,target,14.0,28,2.0,2023,10,"IB_break SHORT ib=[14581.00,14599.75]"
g_inside_bar_breakout,LONG,2023-06-02 15:20:00+00:00,14579.25,14572.0,14593.75,2023-06-02 15:23:00+00:00,14593.75,target,29.0,58,3.0,2023,10,"IB_break LONG ib=[14572.25,14587.25]"
g_inside_bar_breakout,SHORT,2023-06-02 16:55:00+00:00,14600.75,14602.75,14596.75,2023-06-02 16:56:00+00:00,14596.75,target,8.0,16,1.0,2023,11,"IB_break SHORT ib=[14595.50,14602.50]"
e_multi_day_breakout,LONG,2023-06-05 13:48:00+00:00,14627.25,14624.0,14633.75,2023-06-05 13:49:00+00:00,14633.75,target,13.0,26,1.0,2023,8,3d_break LONG 3dH=14627.75 3dL=14252.00
g_inside_bar_breakout,LONG,2023-06-05 15:25:00+00:00,14661.5,14655.0,14674.5,2023-06-05 15:28:00+00:00,14674.5,target,26.0,52,3.0,2023,10,"IB_break LONG ib=[14655.25,14664.50]"
g_inside_bar_breakout,SHORT,2023-06-05 17:25:00+00:00,14676.25,14679.75,14669.25,2023-06-05 17:26:00+00:00,14669.25,target,14.0,28,1.0,2023,12,"IB_break SHORT ib=[14671.25,14679.50]"
g_inside_bar_breakout,LONG,2023-06-06 18:05:00+00:00,14548.5,14544.75,14556.0,2023-06-06 18:09:00+00:00,14556.0,target,15.0,30,4.0,2023,13,"IB_break LONG ib=[14545.00,14555.75]"
e_multi_day_breakout,SHORT,2023-06-07 15:41:00+00:00,14476.25,14482.5,14463.75,2023-06-07 15:43:00+00:00,14463.75,target,25.0,50,2.0,2023,10,3d_break SHORT 3dH=14695.25 3dL=14470.00
g_inside_bar_breakout,LONG,2023-06-07 17:05:00+00:00,14384.0,14382.0,14388.0,2023-06-07 17:06:00+00:00,14382.0,stop,-4.0,-8,1.0,2023,12,"IB_break LONG ib=[14382.25,14396.25]"
b_rth_open_drive_scalp,SHORT,2023-06-08 13:35:00+00:00,14351.5,14353.25,14348.0,2023-06-08 13:36:00+00:00,14353.25,stop,-3.5,-7,1.0,2023,8,OR_drive SHORT progress=-4%
g_inside_bar_breakout,LONG,2023-06-08 18:40:00+00:00,14479.25,14472.5,14492.75,2023-06-08 19:09:00+00:00,14492.75,target,27.0,54,29.0,2023,13,"IB_break LONG ib=[14472.75,14479.75]"
a_asian_continuation,LONG,2023-06-09 12:05:00+00:00,14524.0,14520.5,14531.0,2023-06-09 12:07:00+00:00,14531.0,target,14.0,28,2.0,2023,7,"ON_break LONG close5=14540.75 on=[14460.25,14530.25]"
e_multi_day_breakout,LONG,2023-06-09 14:16:00+00:00,14672.25,14667.0,14682.75,2023-06-09 14:19:00+00:00,14682.75,target,21.0,42,3.0,2023,9,3d_break LONG 3dH=14675.50 3dL=14305.50
