strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
raschke_1.5r_target,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12036.375,2022-06-24 18:31:00+00:00,12036.375,target,26.0,52,6.0,2022,13,raschke LONG pb=12024.75 ema=12014.68
raschke_3r_target,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12049.5,2022-06-24 18:45:00+00:00,12049.5,target,52.5,105,20.0,2022,13,raschke LONG pb=12024.75 ema=12014.68
raschke_long_only,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12040.75,2022-06-24 18:33:00+00:00,12040.75,target,35.0,70,8.0,2022,13,raschke LONG pb=12024.75 ema=12014.68
raschke_ema9_ref,SHORT,2022-06-28 16:30:00+00:00,11801.75,11808.75,11787.75,2022-06-28 16:32:00+00:00,11787.75,target,28.0,56,2.0,2022,11,raschke SHORT pb=11782.00 ema=11801.86
raschke_ema9_ref,SHORT,2022-06-28 18:00:00+00:00,11764.25,11770.0,11752.75,2022-06-28 18:01:00+00:00,11770.0,stop,-11.5,-23,1.0,2022,13,raschke SHORT pb=11754.25 ema=11761.99
raschke_loose_trend,SHORT,2022-07-04 13:50:00+00:00,11554.0,11562.5,11537.0,2022-07-04 14:08:00+00:00,11537.0,target,34.0,68,18.0,2022,8,raschke SHORT pb=11557.00 ema=11562.01
raschke_loose_trend,LONG,2022-07-04 16:05:00+00:00,11558.0,11550.5,11573.0,2022-07-04 16:29:00+00:00,11573.0,target,30.0,60,24.0,2022,11,raschke LONG pb=11557.25 ema=11555.88
raschke_loose_trend,SHORT,2022-07-04 16:55:00+00:00,11553.75,11558.0,11545.25,2022-07-04 16:59:00+00:00,11550.5,time_exit,6.5,13,4.0,2022,11,raschke SHORT pb=11551.25 ema=11556.50
raschke_ema9_ref,LONG,2022-07-05 17:55:00+00:00,11667.0,11661.25,11678.5,2022-07-05 18:02:00+00:00,11678.5,target,23.0,46,7.0,2022,12,raschke LONG pb=11673.25 ema=11664.76
raschke_ema9_ref,LONG,2022-07-05 19:45:00+00:00,11789.0,11783.5,11800.0,2022-07-05 19:47:00+00:00,11783.5,stop,-11.0,-22,2.0,2022,14,raschke LONG pb=11797.75 ema=11784.66
raschke_loose_trend,LONG,2022-07-06 16:40:00+00:00,11804.5,11794.75,11824.0,2022-07-06 16:44:00+00:00,11824.0,target,39.0,78,4.0,2022,11,raschke LONG pb=11813.00 ema=11804.13
raschke_baseline,LONG,2022-07-07 17:30:00+00:00,12093.0,12085.75,12107.5,2022-07-07 17:44:00+00:00,12107.5,target,29.0,58,14.0,2022,12,raschke LONG pb=12095.25 ema=12086.74
raschke_strict_trend,LONG,2022-07-07 17:30:00+00:00,12093.0,12085.75,12107.5,2022-07-07 17:44:00+00:00,12107.5,target,29.0,58,14.0,2022,12,raschke LONG pb=12095.25 ema=12086.74
