strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year
bias_momentum,LONG,2026-05-11 14:31:00+00:00,29260.0,29246.5,29293.75,2026-05-11 14:33:00+00:00,29293.75,target,67.5,135,2.0,2026
orb_fade,LONG,2026-05-11 14:33:00+00:00,29300.5,29293.0,29437.25,2026-05-11 15:30:00+00:00,29437.25,target,273.5,547,57.0,2026
bias_momentum,LONG,2026-05-11 14:33:00+00:00,29300.5,29285.5,29338.0,2026-05-11 14:36:00+00:00,29338.0,target,75.0,150,3.0,2026
bias_momentum,LONG,2026-05-11 14:36:00+00:00,29326.75,29311.75,29364.25,2026-05-11 14:41:00+00:00,29364.25,target,75.0,150,5.0,2026
bias_momentum,LONG,2026-05-11 14:41:00+00:00,29370.0,29355.0,29407.5,2026-05-11 14:42:00+00:00,29355.0,stop,-30.0,-60,1.0,2026
bias_momentum,LONG,2026-05-11 14:42:00+00:00,29356.75,29341.75,29394.25,2026-05-11 14:53:00+00:00,29394.25,target,75.0,150,11.0,2026
spring_setup,LONG,2026-05-11 14:45:00+00:00,29366.25,29316.25,29441.25,2026-05-11 15:44:00+00:00,29441.25,target,150.0,300,59.0,2026
bias_momentum,LONG,2026-05-11 14:53:00+00:00,29401.0,29386.0,29438.5,2026-05-11 14:57:00+00:00,29386.0,stop,-30.0,-60,4.0,2026
bias_momentum,LONG,2026-05-11 15:00:00+00:00,29381.0,29379.0,29386.0,2026-05-11 15:01:00+00:00,29379.0,stop,-4.0,-8,1.0,2026
bias_momentum,LONG,2026-05-11 15:01:00+00:00,29381.25,29374.25,29398.75,2026-05-11 15:04:00+00:00,29398.75,target,35.0,70,3.0,2026
bias_momentum,LONG,2026-05-11 15:05:00+00:00,29397.75,29382.75,29435.25,2026-05-11 15:06:00+00:00,29382.75,stop,-30.0,-60,1.0,2026
bias_momentum,LONG,2026-05-11 15:07:00+00:00,29396.25,29381.25,29433.75,2026-05-11 15:13:00+00:00,29381.25,stop,-30.0,-60,6.0,2026
bias_momentum,LONG,2026-05-11 15:16:00+00:00,29382.75,29367.75,29420.25,2026-05-11 15:28:00+00:00,29420.25,target,75.0,150,12.0,2026
vwap_band_reversion,SHORT,2026-05-11 15:30:00+00:00,29420.5,29463.38118846183,29346.57389285955,2026-05-11 15:54:00+00:00,29463.38118846183,stop,-86.0,-172,24.0,2026
noise_area,LONG,2026-05-11 15:30:00+00:00,29432.25,29209.0,29432.25,2026-05-11 15:31:00+00:00,29432.25,target,0.0,0,1.0,2026
bias_momentum,LONG,2026-05-11 15:36:00+00:00,29416.25,29405.0,29444.375,2026-05-11 15:49:00+00:00,29444.375,target,56.0,112,13.0,2026
spring_setup,LONG,2026-05-11 15:49:00+00:00,29440.25,29394.0,29509.625,2026-05-11 16:42:00+00:00,29394.0,stop,-92.5,-185,53.0,2026
noise_area,LONG,2026-05-11 16:00:00+00:00,29468.75,29214.75,29468.75,2026-05-11 16:01:00+00:00,29468.75,target,0.0,0,1.0,2026
bias_momentum,LONG,2026-05-11 16:22:00+00:00,29459.0,29445.75,29492.125,2026-05-11 16:38:00+00:00,29445.75,stop,-26.5,-53,16.0,2026
noise_area,LONG,2026-05-11 16:30:00+00:00,29474.75,29215.25,29474.75,2026-05-11 16:31:00+00:00,29474.75,target,0.0,0,1.0,2026
orb_fade,SHORT,2026-05-11 16:41:00+00:00,29418.25,29425.75,29280.25,2026-05-11 16:46:00+00:00,29425.75,stop,-15.0,-30,5.0,2026
spring_setup,LONG,2026-05-11 16:53:00+00:00,29408.25,29364.0,29474.625,2026-05-11 17:46:00+00:00,29474.625,target,133.0,266,53.0,2026
noise_area,LONG,2026-05-11 17:00:00+00:00,29423.25,29214.0,29423.25,2026-05-11 17:01:00+00:00,29423.25,target,0.0,0,1.0,2026
noise_area,LONG,2026-05-11 17:30:00+00:00,29449.75,29201.75,29449.75,2026-05-11 17:31:00+00:00,29449.75,target,0.0,0,1.0,2026
spring_setup,LONG,2026-05-11 17:48:00+00:00,29472.5,29440.0,29521.25,2026-05-11 17:59:00+00:00,29440.0,stop,-65.0,-130,11.0,2026
noise_area,LONG,2026-05-11 18:00:00+00:00,29445.75,29204.5,29445.75,2026-05-11 18:01:00+00:00,29445.75,target,0.0,0,1.0,2026
bias_momentum,LONG,2026-05-11 18:03:00+00:00,29457.25,29442.25,29494.75,2026-05-11 18:41:00+00:00,29442.25,stop,-30.0,-60,38.0,2026
spring_setup,LONG,2026-05-11 18:08:00+00:00,29469.25,29436.25,29518.75,2026-05-11 18:45:00+00:00,29436.25,stop,-66.0,-132,37.0,2026
noise_area,LONG,2026-05-11 18:30:00+00:00,29460.75,29206.25,29460.75,2026-05-11 18:31:00+00:00,29460.75,target,0.0,0,1.0,2026
spring_setup,LONG,2026-05-11 18:47:00+00:00,29447.5,29416.25,29494.375,2026-05-11 18:58:00+00:00,29416.25,stop,-62.5,-125,11.0,2026
bias_momentum,LONG,2026-05-11 19:09:00+00:00,29424.5,29409.5,29462.0,2026-05-11 19:15:00+00:00,29409.5,stop,-30.0,-60,6.0,2026
spring_setup,LONG,2026-05-11 19:28:00+00:00,29388.0,29354.5,29438.25,2026-05-11 20:11:00+00:00,29354.5,stop,-67.0,-134,43.0,2026
bias_momentum,LONG,2026-05-11 19:51:00+00:00,29414.0,29399.0,29451.5,2026-05-11 20:05:00+00:00,29399.0,stop,-30.0,-60,14.0,2026
spring_setup,LONG,2026-05-11 20:15:00+00:00,29393.5,29349.0,29460.25,2026-05-12 00:15:00+00:00,29397.75,time_exit,8.5,17,240.0,2026
bias_momentum,LONG,2026-05-11 22:10:00+00:00,29424.75,29416.0,29446.625,2026-05-11 22:38:00+00:00,29446.625,target,44.0,88,28.0,2026
bias_momentum,LONG,2026-05-11 22:40:00+00:00,29445.0,29410.25,29531.875,2026-05-12 00:00:00+00:00,29410.25,stop,-69.5,-139,80.0,2026
bias_momentum,SHORT,2026-05-12 00:35:00+00:00,29390.5,29435.5,29278.0,2026-05-12 01:38:00+00:00,29278.0,target,225.0,450,63.0,2026
bias_momentum,SHORT,2026-05-12 01:50:00+00:00,29298.25,29311.75,29264.5,2026-05-12 01:55:00+00:00,29264.5,target,67.5,135,5.0,2026
bias_momentum,SHORT,2026-05-12 01:56:00+00:00,29289.0,29304.0,29251.5,2026-05-12 02:05:00+00:00,29304.0,stop,-30.0,-60,9.0,2026
bias_momentum,SHORT,2026-05-12 02:15:00+00:00,29320.5,29335.5,29283.0,2026-05-12 02:22:00+00:00,29335.5,stop,-30.0,-60,7.0,2026
bias_momentum,SHORT,2026-05-12 02:30:00+00:00,29326.5,29340.0,29292.75,2026-05-12 02:46:00+00:00,29340.0,stop,-27.0,-54,16.0,2026
spring_setup,LONG,2026-05-12 03:00:00+00:00,29362.0,29331.25,29408.125,2026-05-12 03:03:00+00:00,29331.25,stop,-61.5,-123,3.0,2026
spring_setup,LONG,2026-05-12 03:33:00+00:00,29338.5,29313.75,29375.625,2026-05-12 04:13:00+00:00,29313.75,stop,-49.5,-99,40.0,2026
bias_momentum,SHORT,2026-05-12 03:55:00+00:00,29326.0,29367.0,29223.5,2026-05-12 06:55:00+00:00,29223.5,target,205.0,410,180.0,2026
compression_breakout_v2,SHORT,2026-05-12 04:55:00+00:00,29282.75,29297.75,29252.75,2026-05-12 05:04:00+00:00,29297.75,stop,-30.0,-60,9.0,2026
vwap_pullback_v2,SHORT,2026-05-12 05:02:00+00:00,29286.0,29317.75,29228.75,2026-05-12 06:55:00+00:00,29228.75,target,114.5,229,113.0,2026
vwap_band_reversion,LONG,2026-05-12 05:15:00+00:00,29280.0,29246.24917735767,29382.45477743533,2026-05-12 06:29:00+00:00,29246.24917735767,stop,-67.5,-135,74.0,2026
vwap_pullback_v2,SHORT,2026-05-12 07:21:00+00:00,29243.5,29285.0,29168.75,2026-05-12 11:05:00+00:00,29168.75,target,149.5,299,224.0,2026
bias_momentum,SHORT,2026-05-12 07:21:00+00:00,29243.5,29249.0,29229.75,2026-05-12 07:22:00+00:00,29249.0,stop,-11.0,-22,1.0,2026
bias_momentum,SHORT,2026-05-12 07:24:00+00:00,29239.75,29254.75,29202.25,2026-05-12 07:37:00+00:00,29254.75,stop,-30.0,-60,13.0,2026
bias_momentum,SHORT,2026-05-12 07:38:00+00:00,29245.25,29256.0,29218.375,2026-05-12 08:03:00+00:00,29218.375,target,54.0,108,25.0,2026
bias_momentum,SHORT,2026-05-12 08:05:00+00:00,29217.5,29263.75,29101.875,2026-05-12 12:05:00+00:00,29134.0,time_exit,167.0,334,240.0,2026
spring_setup,LONG,2026-05-12 10:18:00+00:00,29223.75,29199.5,29260.125,2026-05-12 10:40:00+00:00,29199.5,stop,-48.5,-97,22.0,2026
vwap_band_reversion,LONG,2026-05-12 10:45:00+00:00,29197.5,29147.603560087293,29361.05834664815,2026-05-12 11:05:00+00:00,29147.603560087293,stop,-100.0,-200,20.0,2026
bias_momentum,SHORT,2026-05-12 12:15:00+00:00,29157.0,29169.0,29127.0,2026-05-12 12:24:00+00:00,29127.0,target,60.0,120,9.0,2026
bias_momentum,SHORT,2026-05-12 12:25:00+00:00,29144.75,29150.25,29131.0,2026-05-12 12:27:00+00:00,29131.0,target,27.5,55,2.0,2026
bias_momentum,SHORT,2026-05-12 12:29:00+00:00,29147.25,29158.75,29118.5,2026-05-12 12:30:00+00:00,29158.75,stop,-23.0,-46,1.0,2026
spring_setup,LONG,2026-05-12 12:47:00+00:00,29207.25,29170.5,29262.375,2026-05-12 13:30:00+00:00,29170.5,stop,-73.5,-147,43.0,2026
noise_area,SHORT,2026-05-12 13:30:00+00:00,29166.0,29235.75,29166.0,2026-05-12 13:31:00+00:00,29166.0,target,0.0,0,1.0,2026
bias_momentum,LONG,2026-05-12 13:40:00+00:00,29238.25,29223.25,29275.75,2026-05-12 13:41:00+00:00,29223.25,stop,-30.0,-60,1.0,2026
bias_momentum,LONG,2026-05-12 13:41:00+00:00,29233.25,29218.25,29270.75,2026-05-12 13:43:00+00:00,29270.75,target,75.0,150,2.0,2026
bias_momentum,LONG,2026-05-12 13:43:00+00:00,29273.75,29258.75,29311.25,2026-05-12 13:46:00+00:00,29258.75,stop,-30.0,-60,3.0,2026
bias_momentum,LONG,2026-05-12 13:52:00+00:00,29223.0,29208.0,29260.5,2026-05-12 13:55:00+00:00,29208.0,stop,-30.0,-60,3.0,2026
noise_area,SHORT,2026-05-12 14:00:00+00:00,29119.5,29269.0,29119.5,2026-05-12 14:01:00+00:00,29119.5,target,0.0,0,1.0,2026
bias_momentum,SHORT,2026-05-12 14:01:00+00:00,29139.5,29154.5,29102.0,2026-05-12 14:02:00+00:00,29154.5,stop,-30.0,-60,1.0,2026
bias_momentum,SHORT,2026-05-12 14:02:00+00:00,29125.75,29140.75,29088.25,2026-05-12 14:03:00+00:00,29088.25,target,75.0,150,1.0,2026
bias_momentum,SHORT,2026-05-12 14:21:00+00:00,29189.0,29204.0,29151.5,2026-05-12 14:22:00+00:00,29204.0,stop,-30.0,-60,1.0,2026
bias_momentum,SHORT,2026-05-12 14:23:00+00:00,29179.0,29194.0,29141.5,2026-05-12 14:26:00+00:00,29141.5,target,75.0,150,3.0,2026
bias_momentum,SHORT,2026-05-12 14:26:00+00:00,29145.0,29160.0,29107.5,2026-05-12 14:28:00+00:00,29107.5,target,75.0,150,2.0,2026
bias_momentum,SHORT,2026-05-12 14:28:00+00:00,29098.5,29113.5,29061.0,2026-05-12 14:30:00+00:00,29061.0,target,75.0,150,2.0,2026
noise_area,SHORT,2026-05-12 14:30:00+00:00,29050.5,29280.0,29050.5,2026-05-12 14:31:00+00:00,29050.5,target,0.0,0,1.0,2026
bias_momentum,SHORT,2026-05-12 14:30:00+00:00,29050.75,29065.75,29013.25,2026-05-12 14:33:00+00:00,29013.25,target,75.0,150,3.0,2026
bias_momentum,SHORT,2026-05-12 14:33:00+00:00,29019.5,29034.5,28982.0,2026-05-12 14:34:00+00:00,29034.5,stop,-30.0,-60,1.0,2026
bias_momentum,SHORT,2026-05-12 14:40:00+00:00,29089.75,29104.75,29052.25,2026-05-12 14:42:00+00:00,29104.75,stop,-30.0,-60,2.0,2026
bias_momentum,SHORT,2026-05-12 14:42:00+00:00,29112.5,29114.75,29106.875,2026-05-12 14:43:00+00:00,29114.75,stop,-4.5,-9,1.0,2026
