strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,mae_ticks,mfe_ticks,regime,tod_bucket
g_inside_bar_breakout,LONG,2022-04-28 14:15:00+00:00,13091.25,13083.75,13106.25,2022-04-28 14:16:00+00:00,13083.75,stop,-19.82,-30,1.0,2022,77.0,191.0,MEAN_REVERT_CHOP,Opening Drive
g_inside_bar_breakout,LONG,2022-04-29 15:20:00+00:00,13170.25,13168.0,13174.75,2022-04-29 15:21:00+00:00,13168.0,stop,-9.32,-9,1.0,2022,27.0,37.0,MEAN_REVERT_CHOP,Other RTH
a_asian_continuation,SHORT,2022-05-02 11:30:00+00:00,12853.75,12857.25,12846.75,2022-05-02 11:31:00+00:00,12857.25,stop,-11.82,-14,1.0,2022,25.0,10.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,SHORT,2022-05-02 17:01:00+00:00,12813.75,12820.5,12800.25,2022-05-02 17:03:00+00:00,12800.25,target,22.18,54,2.0,2022,15.0,127.0,LOW_VOL_TREND,Mid-Day Lull
a_asian_continuation,SHORT,2022-05-03 10:25:00+00:00,13050.75,13054.25,13043.75,2022-05-03 10:26:00+00:00,13043.75,target,9.18,28,1.0,2022,1.0,69.0,LOW_VOL_TREND,Globex Overnight
g_inside_bar_breakout,LONG,2022-05-04 17:30:00+00:00,13094.0,13090.75,13100.5,2022-05-04 17:31:00+00:00,13090.75,stop,-11.32,-13,1.0,2022,18.0,22.0,MEAN_REVERT_CHOP,Other RTH
a_asian_continuation,SHORT,2022-05-05 08:40:00+00:00,13403.5,13407.0,13396.5,2022-05-05 08:41:00+00:00,13396.5,target,9.18,28,1.0,2022,13.0,29.0,MEAN_REVERT_CHOP,Globex Overnight
a_asian_continuation,SHORT,2022-05-06 11:10:00+00:00,12768.0,12771.5,12761.0,2022-05-06 11:11:00+00:00,12761.0,target,9.18,28,1.0,2022,6.0,29.0,HIGH_VOLATILITY,Globex Overnight
e_multi_day_breakout,SHORT,2022-05-06 14:04:00+00:00,12605.75,12612.5,12592.25,2022-05-06 14:05:00+00:00,12612.5,stop,-18.32,-27,1.0,2022,151.0,13.0,HIGH_VOLATILITY,Opening Drive
a_asian_continuation,SHORT,2022-05-09 08:30:00+00:00,12496.5,12500.0,12489.5,2022-05-09 08:31:00+00:00,12489.5,target,9.18,28,1.0,2022,12.0,95.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,SHORT,2022-05-09 14:05:00+00:00,12439.25,12445.0,12427.75,2022-05-09 14:06:00+00:00,12427.75,target,18.18,46,1.0,2022,7.0,100.0,MEAN_REVERT_CHOP,Opening Drive
a_asian_continuation,LONG,2022-05-10 12:55:00+00:00,12446.25,12442.75,12453.25,2022-05-10 12:56:00+00:00,12453.25,target,9.18,28,1.0,2022,1.0,74.0,HIGH_VOLATILITY,Globex Overnight
a_asian_continuation,SHORT,2022-05-11 12:25:00+00:00,12522.5,12526.0,12515.5,2022-05-11 12:26:00+00:00,12526.0,stop,-11.82,-14,1.0,2022,14.0,18.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,SHORT,2022-05-11 17:05:00+00:00,12103.0,12109.25,12090.5,2022-05-11 17:06:00+00:00,12090.5,target,20.18,50,1.0,2022,4.0,108.0,LOW_VOL_TREND,Mid-Day Lull
g_inside_bar_breakout,SHORT,2022-05-12 15:40:00+00:00,12016.75,12022.5,12005.25,2022-05-12 15:41:00+00:00,12005.25,target,18.18,46,1.0,2022,5.0,54.0,HIGH_VOLATILITY,Mid-Day Lull
e_multi_day_breakout,SHORT,2022-05-12 16:04:00+00:00,11855.5,11858.75,11849.0,2022-05-12 16:05:00+00:00,11849.0,target,8.18,26,1.0,2022,9.0,93.0,HIGH_VOLATILITY,Mid-Day Lull
a_asian_continuation,LONG,2022-05-13 11:45:00+00:00,12165.5,12162.0,12172.5,2022-05-13 11:46:00+00:00,12162.0,stop,-11.82,-14,1.0,2022,19.0,20.0,HIGH_VOLATILITY,Globex Overnight
a_asian_continuation,LONG,2022-05-16 08:55:00+00:00,12331.5,12328.0,12338.5,2022-05-16 08:56:00+00:00,12338.5,target,9.18,28,1.0,2022,12.0,45.0,MEAN_REVERT_CHOP,Globex Overnight
raschke_baseline,SHORT,2022-05-16 16:35:00+00:00,12289.25,12290.75,12286.25,2022-05-16 16:36:00+00:00,12290.75,stop,-7.82,-6,1.0,2022,11.0,71.0,MEAN_REVERT_CHOP,Mid-Day Lull
a_asian_continuation,LONG,2022-05-17 08:05:00+00:00,12408.25,12404.75,12415.25,2022-05-17 08:06:00+00:00,12415.25,target,9.18,28,1.0,2022,1.0,87.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,LONG,2022-05-17 13:49:00+00:00,12457.75,12451.5,12470.25,2022-05-17 13:50:00+00:00,12470.25,target,20.18,50,1.0,2022,5.0,81.0,LOW_VOL_TREND,Opening Drive
a_asian_continuation,SHORT,2022-05-18 11:05:00+00:00,12456.5,12460.0,12449.5,2022-05-18 11:08:00+00:00,12449.5,target,9.18,28,3.0,2022,9.0,58.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,SHORT,2022-05-18 17:10:00+00:00,12048.25,12053.75,12037.25,2022-05-18 17:12:00+00:00,12037.25,target,17.18,44,2.0,2022,1.0,74.0,MEAN_REVERT_CHOP,Mid-Day Lull
a_asian_continuation,LONG,2022-05-19 11:25:00+00:00,11816.0,11812.5,11823.0,2022-05-19 11:26:00+00:00,11812.5,stop,-11.82,-14,1.0,2022,20.0,48.0,HIGH_VOLATILITY,Globex Overnight
e_multi_day_breakout,SHORT,2022-05-19 14:46:00+00:00,11917.25,11922.5,11906.75,2022-05-19 14:47:00+00:00,11906.75,target,16.18,42,1.0,2022,9.0,94.0,HIGH_VOLATILITY,Opening Drive
e_multi_day_breakout,SHORT,2022-05-20 15:20:00+00:00,11742.25,11743.75,11739.25,2022-05-20 15:21:00+00:00,11739.25,target,1.1799999999999997,12,1.0,2022,4.0,69.0,HIGH_VOLATILITY,Other RTH
a_asian_continuation,SHORT,2022-05-23 08:10:00+00:00,11947.25,11950.75,11940.25,2022-05-23 08:11:00+00:00,11940.25,target,9.18,28,1.0,2022,12.0,39.0,MEAN_REVERT_CHOP,Globex Overnight
g_inside_bar_breakout,LONG,2022-05-23 14:25:00+00:00,11843.0,11839.25,11850.5,2022-05-23 14:26:00+00:00,11850.5,target,10.18,30,1.0,2022,3.0,113.0,MEAN_REVERT_CHOP,Opening Drive
