strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
spring_setup,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},0.8991,3587,0.9135,1059,-3203.38,1.016,False
bias_momentum,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""min_confluence"": 6.5, ""stop_atr_mult"": 2.0, ""target_rr"": 2.5}",1.2528,3989,1.2408,1358,7918.94,0.9904,False
ib_breakout,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""ib_minutes"": 15, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.0}",1.4226,40,0.6849,4,-84.28,0.4814,True
vwap_band_reversion,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},0.8308,648,1.0076,142,41.56,1.2128,False
compression_breakout_micro,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},0.5591,57,0.3181,11,-83.02,0.5689,True
vwap_pullback_v2,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},0.832,1112,0.9519,266,-365.62,1.1441,False
big_move_signal,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},999.0,1,0.0,1,-34.82,0.0,True
orb_fade,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},0.7241,200,1.4551,56,392.08,2.0095,False
spring_setup,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,{},0.873,3762,0.8565,1033,-5011.06,0.9811,False
bias_momentum,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""min_confluence"": 6.5, ""stop_atr_mult"": 1.5, ""target_rr"": 3.0}",1.2954,3599,1.2139,1144,6642.92,0.9371,False
ib_breakout,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 1.5}",1.2879,61,2.4969,9,390.62,1.9386,False
vwap_band_reversion,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.8594,625,1.0235,125,109.5,1.1909,False
compression_breakout_micro,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.4851,58,0.892,6,-6.42,1.8388,False
vwap_pullback_v2,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.9039,1093,0.7779,261,-1649.02,0.8606,False
big_move_signal,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.0,1,0.0,1,-34.82,0.0,False
orb_fade,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.8809,203,0.2415,33,-481.06,0.2742,True
spring_setup,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,{},0.892,3869,0.7657,1175,-9690.0,0.8584,False
bias_momentum,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""min_confluence"": 6.5, ""stop_atr_mult"": 1.5, ""target_rr"": 2.5}",1.2909,4456,1.3494,1985,16185.62,1.0453,False
ib_breakout,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",0.4855,48,1.5021,2,48.86,3.0936,False
vwap_band_reversion,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.9151,570,1.2949,52,687.36,1.4151,False
compression_breakout_micro,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.5192,51,0.5216,10,-55.7,1.0045,False
vwap_pullback_v2,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.8826,1079,0.9744,257,-232.74,1.104,False
big_move_signal,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.0,1,999.0,1,55.18,0.0,False
orb_fade,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.8482,188,1.3861,44,282.92,1.634,False
spring_setup,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,{},0.8733,3885,0.9507,1439,-3319.48,1.0887,False
bias_momentum,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 2.0, ""target_rr"": 3.0}",1.3385,6319,1.2178,1105,6109.4,0.9098,False
ib_breakout,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.0}",1.2322,31,0.0,5,-430.1,0.0,True
vwap_band_reversion,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},1.0358,460,0.8252,147,-1002.04,0.7967,True
compression_breakout_micro,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},0.5741,45,0.2071,10,-99.7,0.3607,True
vwap_pullback_v2,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},0.9407,1063,0.9871,271,-93.72,1.0493,False
big_move_signal,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},0.0,1,999.0,1,15.18,0.0,False
orb_fade,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},0.9613,190,0.144,43,-685.76,0.1498,True
spring_setup,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,{},0.9067,4505,0.8627,1082,-4460.24,0.9515,False
bias_momentum,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""min_confluence"": 4.5, ""stop_atr_mult"": 1.5, ""target_rr"": 2.5}",1.3102,5820,1.4882,1334,15343.62,1.1358,False
ib_breakout,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 4.0, ""target_extension"": 2.0}",0.7071,20,6.526,6,546.08,9.2293,False
vwap_band_reversion,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.9788,469,0.8797,142,-721.94,0.8988,False
compression_breakout_micro,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.4217,37,0.4263,7,-37.74,1.0109,False
vwap_pullback_v2,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.9352,1062,0.9942,271,-42.72,1.0631,False
big_move_signal,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.0,1,999.0,1,55.18,0.0,False
orb_fade,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,{},0.8377,176,0.5582,45,-354.4,0.6663,True
