entry_ts,entry_price,stop_price,target_price,direction,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,category
2026-06-04T05:32:00+00:00,30283.5,30281.25,30286.875,LONG,2026-06-04 05:34:00+00:00,30281.25,stop,-2.25,-9.0,baseline_random
2026-06-01T10:03:00+00:00,30428.0,30430.25,30424.625,SHORT,2026-06-01 10:04:00+00:00,30430.25,stop,-2.25,-9.0,baseline_random
2026-06-02T15:15:00+00:00,30747.5,30745.25,30750.875,LONG,2026-06-02 15:18:00+00:00,30750.875,target,3.375,13.5,baseline_random
2026-06-02T15:53:00+00:00,30742.25,30744.5,30738.875,SHORT,2026-06-02 15:58:00+00:00,30744.5,stop,-2.25,-9.0,baseline_random
2026-06-02T07:21:00+00:00,30539.5,30537.25,30542.875,LONG,2026-06-02 07:22:00+00:00,30542.875,target,3.375,13.5,baseline_random
2026-05-28T14:36:00+00:00,30323.5,30325.75,30320.125,SHORT,2026-05-28 14:37:00+00:00,30320.125,target,3.375,13.5,baseline_random
2026-06-04T14:19:00+00:00,30537.0,30539.25,30533.625,SHORT,2026-06-04 14:20:00+00:00,30539.25,stop,-2.25,-9.0,baseline_random
2026-06-04T12:55:00+00:00,30546.25,30544.0,30549.625,LONG,2026-06-04 12:56:00+00:00,30549.625,target,3.375,13.5,baseline_random
2026-06-02T12:43:00+00:00,30632.75,30630.5,30636.125,LONG,2026-06-02 12:44:00+00:00,30630.5,stop,-2.25,-9.0,baseline_random
2026-06-01T08:27:00+00:00,30305.75,30308.0,30302.375,SHORT,2026-06-01 08:28:00+00:00,30308.0,stop,-2.25,-9.0,baseline_random
2026-06-02T14:04:00+00:00,30666.75,30664.5,30670.125,LONG,2026-06-02 14:05:00+00:00,30664.5,stop,-2.25,-9.0,baseline_random
2026-06-01T08:14:00+00:00,30347.25,30345.0,30350.625,LONG,2026-06-01 08:15:00+00:00,30345.0,stop,-2.25,-9.0,baseline_random
2026-05-28T01:49:00+00:00,29901.5,29899.25,29904.875,LONG,2026-05-28 01:51:00+00:00,29899.25,stop,-2.25,-9.0,baseline_random
2026-06-04T12:35:00+00:00,30524.75,30522.5,30528.125,LONG,2026-06-04 12:36:00+00:00,30528.125,target,3.375,13.5,baseline_random
2026-05-28T08:17:00+00:00,30039.5,30041.75,30036.125,SHORT,2026-05-28 08:18:00+00:00,30041.75,stop,-2.25,-9.0,baseline_random
2026-05-28T13:01:00+00:00,30312.75,30310.5,30316.125,LONG,2026-05-28 13:03:00+00:00,30316.125,target,3.375,13.5,baseline_random
2026-06-04T04:01:00+00:00,30312.75,30310.5,30316.125,LONG,2026-06-04 04:02:00+00:00,30310.5,stop,-2.25,-9.0,baseline_random
2026-05-28T01:18:00+00:00,29927.75,29930.0,29924.375,SHORT,2026-05-28 01:21:00+00:00,29930.0,stop,-2.25,-9.0,baseline_random
2026-06-04T10:58:00+00:00,30420.5,30418.25,30423.875,LONG,2026-06-04 10:59:00+00:00,30418.25,stop,-2.25,-9.0,baseline_random
